Frage;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;C7;C8;C9;C10;C11;C12;C13;C14;D0;E15;E16;E17;E18;E19;E20;E21;E22;F23;F24;F25;F26;F27;G0;H28;H29;H30;H31;H32;H33;I_sex;I_age;I_living_place;I_country
Fragebogen 21;4;4;4;1;3;4;4;4;1;2;3;4;4;4;4;4;4;4;1;4;4;4;4;4;4;1;1;3;4;4;4;4;4;4;4;4;3;3;1;4;3;4;4;4;2;4;4;2;23;Vienna;A
Fragebogen 22;4;4;4;3;4;4;4;4;4;4;1;4;4;3;3;4;4;4;1;4;4;4;4;4;4;2;2;3;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;1;25;Vienna;A
Fragebogen 23;4;2;1;1;3;4;4;4;4;2;3;4;4;4;4;4;4;3;1;3;4;4;3;4;4;2;1;4;3;4;3;4;4;4;4;4;3;3;1;4;2;4;4;3;2;4;4;1;23;Vienna;A
Fragebogen 24;4;4;4;3;4;4;4;4;4;4;1;4;4;3;4;4;4;3;1;4;4;4;4;4;4;1;3;3;2;4;3;4;4;4;4;4;3;2;1;4;1;4;4;3;1;4;4;1;24;Vienna;A
Fragebogen 25;4;2;1;2;3;4;4;4;2;1;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;1;1;3;4;4;4;4;4;4;4;4;4;2;1;4;3;4;4;3;1;4;3;1;23;Vienna;A
Fragebogen 26;4;1;3;4;4;4;3;4;4;2;3;4;3;3;4;4;4;3;2;4;4;4;4;3;2;1;2;3;3;4;3;4;4;3;4;4;3;2;2;4;2;4;4;3;1;4;4;1;22;Vienna;A
Fragebogen 27;1;2;2;4;4;4;4;2;4;1;2;4;3;2;3;4;4;3;1;3;3;4;4;3;2;2;1;2;3;4;3;4;4;2;4;2;4;2;1;2;2;2;3;4;1;3;2;1;21;NÖ;A
Fragebogen 28;4;4;4;1;1;4;4;4;1;4;4;4;4;4;4;3;3;2;2;4;4;3;3;4;3;2;3;3;3;4;3;3;3;2;2;3;3;3;3;2;1;3;3;2;2;3;3;1;33;Vienna;A
Fragebogen 29;2;4;3;2;4;4;4;4;1;3;3;4;4;4;4;4;4;3;1;3;4;4;4;3;4;2;2;4;4;4;3;4;3;3;4;4;4;3;2;3;2;3;3;3;4;4;4;1;24;Vienna;A
Fragebogen 30;4;2;1;2;3;4;4;4;4;1;1;4;4;4;4;4;4;4;1;4;4;4;4;4;4;1;1;3;4;4;4;4;4;4;4;4;4;2;1;4;2;4;4;4;2;4;4;2;21;Vienna ;DE
Fragebogen 31;4;4;4;4;4;4;4;4;4;2;1;4;4;4;4;4;4;4;1;4;4;4;4;4;4;2;2;3;3;4;4;4;4;3;4;4;3;2;2;4;2;4;4;4;2;4;4;1;23;Vienna;DE
Fragebogen 32;4;4;3;1;2;2;4;3;3;3;2;4;4;4;4;3;4;3;1;3;4;4;4;3;4;2;2;2;4;4;3;4;4;3;4;4;2;3;4;4;1;3;2;2;1;3;3;1;26;Vienna;A
Fragebogen 33;4;4;4;3;2;3;3;3;1;1;4;4;3;2;4;3;4;3;2;3;4;4;4;4;2;1;2;2;2;4;4;4;3;2;2;3;3;3;3;3;1;3;2;2;3;4;2;1;22;Vienna;A
Fragebogen 34;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;1;24;Vienna;A
Fragebogen 35;2;2;2;3;3;2;4;4;4;1;2;4;2;2;4;2;4;2;2;1;3;4;4;3;4;2;3;2;2;3;2;4;2;2;3;2;1;1;2;2;3;2;4;1;4;2;2;2;21;Vienna;A
Fragebogen 36;4;4;3;1;1;1;3;4;3;1;2;4;2;2;3;3;2;2;2;3;4;2;2;2;3;2;2;2;2;2;3;2;2;2;3;2;2;2;1;2;3;2;2;1;1;2;1;1;25;Vienna;DE
Fragebogen 37;4;4;3;4;4;4;4;2;4;1;4;4;2;2;2;2;1;1;3;1;1;2;3;2;1;3;1;1;2;1;3;1;2;1;2;3;2;1;4;1;1;2;2;1;3;2;2;1;19;Vienna;A
Fragebogen 38;4;4;4;2;3;3;3;4;3;4;3;4;3;2;3;3;3;2;2;2;3;3;3;3;3;2;2;2;2;3;3;3;3;2;3;3;2;2;4;2;1;3;3;2;3;4;3;1;20;Vienna;A
Fragebogen 39;4;4;4;2;1;1;4;4;2;3;4;4;4;4;4;4;4;4;1;4;4;4;3;3;4;1;1;2;4;4;3;4;3;4;3;4;3;2;2;4;1;2;3;2;3;4;3;2;21;Vienna;Ukraine
Fragebogen 40;4;4;4;1;1;3;3;4;4;4;4;4;4;4;2;4;2;3;2;2;3;2;2;2;2;3;2;2;2;3;2;2;3;2;3;2;2;3;3;4;1;3;2;3;1;2;3;1;28;Vienna;Moldawien
Fragebogen 41;4;1;1;4;4;3;2;4;4;4;4;4;2;3;3;2;4;2;2;3;2;3;3;2;4;3;1;2;3;2;1;1;1;1;2;3;1;1;1;4;1;1;1;1;3;1;3;2;21;Baden;A
Fragebogen 42;1;2;2;2;3;3;4;4;4;1;1;4;3;3;3;3;4;3;1;3;4;3;3;3;2;2;2;2;3;3;3;4;2;2;4;4;3;3;3;2;2;3;3;3;2;3;3;2;22;Vienna;A
Fragebogen 43;4;4;4;3;2;4;4;4;3;3;2;4;4;4;4;4;4;3;1;3;4;4;4;4;4;1;2;2;3;4;4;4;3;3;3;4;4;3;3;2;1;4;4;3;2;4;4;2;22;Vienna;A
Fragebogen 44;4;4;4;4;4;3;2;2;1;1;3;4;2;2;2;2;2;1;3;2;2;2;2;1;1;4;2;1;2;2;1;1;2;1;1;2;1;1;2;3;1;1;2;1;1;1;1;1;22;Vienna;A
Fragebogen 45;4;4;2;3;2;2;3;4;1;4;4;4;4;4;3;4;4;3;2;3;3;3;3;2;3;3;2;2;3;2;3;3;3;2;3;4;4;4;4;4;2;3;3;3;3;3;3;1;22;Vienna;A
